ID;Conta;Data;Valor
1;22;2024-04-16;513.11
2;21;2024-06-15;5461.07
3;33;2023-10-09;15810.16
4;31;2023-08-05;8095.85
5;21;2023-08-04;11327.62
6;22;2024-06-20;5576.51
7;32;2023-09-25;11048.8
8;33;2024-12-03;25391.6
9;12;2023-04-15;7061.17
10;31;2023-09-26;8420.86
11;22;2024-08-24;19521.58
12;32;2024-04-02;11505.74
13;12;2024-10-28;3985.23
14;31;2025-01-24;5016.07
15;12;2024-09-23;22990.69
16;31;2024-01-09;14175.93
17;33;2024-01-08;1239.46
18;22;2024-07-27;22643.98
19;31;2023-07-18;24436.59
20;33;2025-03-24;8782.94
21;33;2025-02-12;25788.22
22;11;2025-02-09;4291.45
23;21;2025-03-12;5210.93
24;33;2023-12-30;5822.2
25;31;2024-12-11;17886.51
26;21;2023-10-13;18658.53
27;33;2024-06-01;25363.21
28;33;2024-09-14;24472.12
29;21;2023-07-04;15188.39
30;31;2023-07-18;26249.45
31;31;2025-03-09;22078.18
32;12;2024-12-21;27062.64
33;21;2024-03-14;14637.07
34;31;2023-11-16;22769.84
35;33;2023-11-12;13307.63
36;21;2024-02-21;19570.33
37;32;2023-07-01;1015.25
38;21;2024-11-04;4782.21
39;22;2023-12-13;2798.95
40;33;2023-05-14;8382.97
41;33;2023-05-02;19384.92
42;21;2023-04-28;2608.11
43;21;2023-05-16;20964.25
44;32;2023-11-26;4083.34
45;31;2023-04-23;27052.45
46;33;2024-07-31;28996.89
47;31;2024-11-23;16593.15
48;22;2024-07-06;13062.37
49;22;2024-01-03;13325.53
50;22;2024-04-22;7235.14
51;12;2024-12-16;26369.91
52;11;2024-09-02;6204.12
53;33;2024-09-19;26236.4
54;33;2024-11-24;1810.39
55;21;2025-02-01;25196.01
56;31;2024-07-31;23423.68
57;22;2023-12-30;1703.9
58;33;2023-12-03;18085.68
59;12;2024-01-10;12172.7
60;12;2024-05-31;19050.88
61;32;2025-03-14;12972.53
62;22;2023-10-31;11328.39
63;31;2024-05-02;22667.64
64;33;2023-08-09;20947.68
65;22;2024-01-17;6914.86
66;12;2024-03-12;9567.02
67;31;2024-04-27;6855.67
68;31;2023-07-28;28291.32
69;12;2024-11-17;1780.03
70;31;2023-06-26;14210.88
71;12;2023-04-25;1031.66
72;33;2024-02-11;27916.17
73;31;2024-01-14;29865.82
74;12;2024-12-20;3495.34
75;12;2024-10-16;18089.12
76;21;2024-03-18;29534.99
77;21;2025-01-01;27098.58
78;21;2024-10-17;5593.83
79;11;2024-04-05;3384.14
80;21;2024-12-04;9143.16
81;31;2023-12-24;9587.15
82;11;2024-01-12;2147.19
83;11;2024-12-30;5937.16
84;12;2024-02-19;10631.59
85;31;2023-09-15;20294.96
86;21;2024-08-16;15501.63
87;32;2024-06-25;2580.43
88;11;2024-11-10;14606.07
89;31;2024-07-06;9405.33
90;21;2024-04-13;28516.69
91;31;2023-08-03;27262.93
92;11;2023-10-11;18757.84
93;32;2024-09-20;7424.91
94;31;2025-02-13;14423.71
95;11;2025-02-02;23918.06
96;21;2024-05-12;28932.42
97;12;2023-10-17;23204.71
98;21;2024-06-17;19689.8
99;11;2024-03-06;16134.64
100;21;2023-05-11;15202.11
101;33;2024-06-15;25762.02
102;33;2023-12-13;27736.74
103;31;2023-10-12;27567.2
104;21;2023-05-11;152.79
105;12;2024-04-17;25283.16
106;32;2024-08-07;22371.24
107;22;2024-02-15;6254.67
108;22;2024-08-16;7622.51
109;12;2023-12-06;2902.61
110;22;2024-05-18;22740.55
111;32;2025-02-01;12049.56
112;31;2023-09-15;14322.12
113;32;2023-12-02;19849.57
114;21;2023-05-01;1674.45
115;33;2024-02-08;11674.02
116;21;2024-06-03;908.34
